user_id,first_name,last_name,location,date,time,timezone,case,source
74025,,,,20/10/2021,20:08:45,+08:00,IN,mobile
74025,,,,20/10/2021,20:09:11,+08:00,IN,mobile
74027,,,,20/10/2021,22:29:56,+08:00,IN,mobile
74027,,,,21/10/2021,0:15:33,+08:00,OUT,mobile
74025,,,Nu Orange,21/10/2021,13:22:20,+08:00,IN,mobile
74027,,,Nu Orange,21/10/2021,15:47:52,+08:00,IN,mobile
74135,,,Nu Orange,21/10/2021,18:09:37,+08:00,IN,mobile
74025,,,Nu Orange,22/10/2021,13:40:57,+08:00,IN,mobile
74138,,,,22/10/2021,14:33:25,+08:00,IN,mobile
74027,,,Nu Orange,22/10/2021,16:15:48,+08:00,IN,mobile
74050,,,Clinic,25/10/2021,13:51:35,+08:00,IN,mobile
74027,,,,25/10/2021,13:58:21,+08:00,IN,mobile
74053,,,Clinic,25/10/2021,14:20:04,+08:00,IN,mobile
74049,,,Clinic,25/10/2021,14:20:16,+08:00,IN,mobile
74050,,,,25/10/2021,14:20:21,+08:00,IN,mobile
74465,,,Nu Orange,25/10/2021,14:20:25,+08:00,IN,mobile
74054,,,Nu Orange,25/10/2021,14:20:29,+08:00,IN,mobile
74556,,,Nu Orange,25/10/2021,14:20:29,+08:00,IN,mobile
74053,,,Clinic,25/10/2021,14:20:44,+08:00,IN,mobile
74054,,,Nu Orange,25/10/2021,14:21:08,+08:00,OUT,mobile
74053,,,Clinic,25/10/2021,14:21:12,+08:00,OUT,mobile
74465,,,Nu Orange,25/10/2021,14:21:13,+08:00,OUT,mobile
74049,,,Clinic,25/10/2021,14:21:17,+08:00,OUT,mobile
74556,,,Nu Orange,25/10/2021,14:21:21,+08:00,OUT,mobile
74050,,,Clinic,25/10/2021,14:21:22,+08:00,OUT,mobile
74025,,,,25/10/2021,15:19:16,+08:00,IN,mobile
74027,,,,25/10/2021,16:00:51,+08:00,IN,mobile
74052,,,Clinic,25/10/2021,16:00:53,+08:00,IN,mobile
74042,,,Nu Orange,25/10/2021,16:02:15,+08:00,IN,mobile
74639,,,Nu Orange,25/10/2021,18:25:33,+08:00,IN,mobile
74639,,,Nu Orange,25/10/2021,18:25:58,+08:00,IN,mobile
74639,,,Nu Orange,25/10/2021,18:35:57,+08:00,IN,mobile
74745,,,Clinic,25/10/2021,20:54:49,+08:00,IN,mobile
74027,,,Nu Orange,25/10/2021,21:28:30,+08:00,OUT,mobile
74025,,,,26/10/2021,10:25:07,+08:00,IN,mobile
74025,,,Nu Orange,26/10/2021,10:26:01,+08:00,IN,mobile
74049,,,Clinic,26/10/2021,14:37:42,+08:00,IN,mobile
74027,,,Nu Orange,26/10/2021,15:34:17,+08:00,IN,mobile
74049,,,Clinic,26/10/2021,21:48:10,+08:00,OUT,mobile
74049,,,Clinic,27/10/2021,7:37:00,+08:00,IN,mobile
75218,,,Nu Orange,27/10/2021,14:45:53,+08:00,IN,mobile
74052,,,Clinic,27/10/2021,14:52:51,+08:00,IN,mobile
74049,,,Clinic,27/10/2021,14:59:07,+08:00,OUT,mobile
74027,,,,27/10/2021,15:23:40,+08:00,IN,mobile
74025,,,Nu Orange,27/10/2021,16:11:01,+08:00,IN,mobile
75218,,,,27/10/2021,17:33:01,+08:00,OUT,mobile
74027,,,,27/10/2021,21:53:55,+08:00,OUT,mobile
74052,,,Clinic,27/10/2021,22:01:19,+08:00,OUT,mobile
74027,,,,28/10/2021,13:25:23,+08:00,IN,mobile
74025,,,Nu Orange,28/10/2021,15:21:09,+08:00,IN,mobile
74027,,,,28/10/2021,22:17:08,+08:00,OUT,mobile
74049,,,Clinic,29/10/2021,7:28:32,+08:00,IN,mobile
74049,,,Clinic,01/11/2021,7:37:48,+08:00,IN,mobile
74042,,,Nu Orange,01/11/2021,7:55:39,+08:00,IN,mobile
75914,,,Clinic,01/11/2021,8:28:48,+08:00,IN,mobile
74027,,,,01/11/2021,12:36:16,+08:00,IN,mobile
75914,,,Clinic,01/11/2021,12:53:03,+08:00,IN,mobile
75914,,,Clinic,01/11/2021,12:56:22,+08:00,IN,mobile
74025,,,Nu Orange,01/11/2021,13:40:31,+08:00,IN,mobile
74052,,,Clinic,01/11/2021,14:44:42,+08:00,IN,mobile
74556,,,,01/11/2021,14:56:02,+08:00,IN,mobile
74050,,,,01/11/2021,14:57:17,+08:00,IN,mobile
74465,,,,01/11/2021,14:58:01,+08:00,IN,mobile
75914,,,Clinic,01/11/2021,15:06:31,+08:00,OUT,mobile
75914,,,Clinic,01/11/2021,15:06:32,+08:00,OUT,mobile
74049,,,Clinic,01/11/2021,15:07:00,+08:00,OUT,mobile
74042,,,Nu Orange,01/11/2021,15:23:20,+08:00,OUT,mobile
74044,,,,01/11/2021,15:35:03,+08:00,IN,mobile
74461,,,Gunung Catur,01/11/2021,16:40:45,+08:00,IN,mobile
74461,,,Gunung Catur,01/11/2021,16:41:17,+08:00,IN,mobile
74639,,,Nu Orange,01/11/2021,16:50:18,+08:00,IN,mobile
74027,,,,01/11/2021,19:45:25,+08:00,OUT,mobile
74044,,,Clinic,01/11/2021,21:33:21,+08:00,OUT,mobile
74465,,,,01/11/2021,21:55:08,+08:00,OUT,mobile
74050,,,Clinic,01/11/2021,21:55:40,+08:00,OUT,mobile
74052,,,Clinic,01/11/2021,22:00:20,+08:00,OUT,mobile
74461,,,Gunung Catur,01/11/2021,22:00:32,+08:00,OUT,mobile
74639,,,Nu Orange,01/11/2021,22:02:37,+08:00,OUT,mobile
74556,,,Nu Orange,01/11/2021,22:08:29,+08:00,OUT,mobile
74049,,,Clinic,02/11/2021,7:37:06,+08:00,IN,mobile
74465,,,,02/11/2021,7:42:38,+08:00,IN,mobile
74050,,,Clinic,02/11/2021,7:55:44,+08:00,IN,mobile
74556,,,,02/11/2021,7:58:27,+08:00,IN,mobile
74054,,,,02/11/2021,13:44:25,+08:00,IN,mobile
74465,,,,02/11/2021,14:08:25,+08:00,OUT,mobile
74052,,,Clinic,02/11/2021,14:46:00,+08:00,IN,mobile
74042,,,Nu Orange,02/11/2021,14:48:36,+08:00,IN,mobile
